txId,class
3321,3
11108,3
51816,3
68869,2
89273,2
195142,3
223263,3
223265,3
245992,3
267260,3
267262,3
293323,2
293346,3
311767,3
635415,3
648193,3
1034263,3
1041617,3
1050220,3
1066281,3
1234524,3
1494460,3
1494462,2
1553767,3
1582516,3
1582950,2
1874227,3
1887607,3
1911119,3
1913117,2
2030853,3
2148736,3
2217948,3
2224540,3
2225506,3
2278621,3
2302253,3
2311553,2
2311555,3
2327179,3
2367672,3
2380190,3
2384974,3
2453685,2
2476099,3
2479217,3
2519909,3
2544322,3
2567175,3
2574356,3
2706899,2
2710288,3
2712012,3
2713066,3
2713138,3
2713190,3
2713749,3
2713814,3
2713959,3
2713996,3
2714004,3
2714068,3
2714634,3
2715111,3
2715125,3
2715611,3
2716219,3
2716232,3
2716244,3
2716819,3
2717255,3
2717498,2
2718035,2
2718078,3
2718109,3
2718195,2
2752466,3
2754445,3
2755110,3
2756358,3
2757608,3
2757630,3
2757640,2
2758467,2
2760789,3
2771615,3
2772619,3
2773281,3
2776079,3
2778023,3
2778105,3
2782092,3
2785734,2
2787428,2
2787442,2
2790833,3
2790845,3
2791962,3
2792060,3
2798937,3
2799453,3
2813778,2
2815738,3
2819834,3
2819887,3
2819930,3
2821439,2
2822892,3
2823289,3
2826263,2
2834813,2
2834866,3
2836713,3
2850007,2
2850408,2
2855928,2
2858652,2
2862997,3
2863012,2
2864084,3
2864086,2
2864136,2
2864954,3
2864956,2
2865010,2
2868852,2
2870634,3
2871072,3
2871767,3
2876295,3
2877834,2
2880130,3
2880689,3
2880928,3
2880930,2
2881273,2
2881274,2
2886947,3
2893827,2
2893829,3
2893830,3
2893836,3
2893837,3
2893841,3
2893842,3
2893846,3
2893861,2
2893869,3
2905057,3
2910374,3
2910383,3
2910385,3
2912780,2
2919964,3
2920818,3
2920819,2
2923374,3
2923375,2
2925426,3
2925436,3
2925460,3
2928489,3
2928492,3
2929196,3
2929199,3
2929201,3
3007388,3
3084050,3
3087999,3
3091279,3
3094131,2
3110874,3
3114489,2
3154628,3
3157662,3
3158307,2
3159546,2
3159656,3
3160558,3
3160569,3
3161530,3
3165601,3
3175956,3
3179604,3
3195514,3
3197858,3
3199936,3
3202030,2
3204359,3
3205536,1
3228677,3
3230875,3
3234247,3
3236253,3
3237332,3
3239815,2
3248381,2
3272533,3
3272536,3
3272544,3
3273965,3
3276131,2
3282951,3
3285407,3
3302634,3
3304395,3
3305212,3
3307463,3
3308973,3
3317903,3
3318945,2
3319044,3
3324456,3
3324508,3
3326534,2
3329673,3
3338748,3
3342519,2
3372732,3
3376469,2
3378829,2
3381877,3
3383978,2
3383995,2
3385562,2
3385845,2
3386635,2
