Configuration,Model,F1,Precision,Recall,AUC-ROC,AUC-PR,Training_Time,TP,TN,FP,FN
baseline_noweight,xgboost,0.6117274167987322,0.8654708520179372,0.4730392156862745,0.8603900293664246,0.5585015612122658,1.7089648246765137,193,8403,30,215
engineered_noweight,xgboost,0.6050156739811913,0.8391304347826087,0.4730392156862745,0.8627026643694355,0.558924659391599,1.8044967651367188,193,8396,37,215
baseline_weight,xgboost,0.5981873111782477,0.7795275590551181,0.4852941176470588,0.8533082567783428,0.5616262323703646,2.4847216606140137,198,8377,56,210
engineered_weight,xgboost,0.5632183908045977,0.6805555555555556,0.4803921568627451,0.8500862042907997,0.5555374539251067,2.6418404579162598,196,8341,92,212
engineered_noweight,graphsage,0.5349544072948328,0.704,0.43137254901960786,0.825650804612133,0.45188494362872406,7.866278886795044,176,8359,74,232
baseline_noweight,graphsage,0.5278688524590164,0.7970297029702971,0.3946078431372549,0.8358284912447131,0.49968301910311513,6.8661720752716064,161,8392,41,247
baseline_weight,graphsage,0.5246376811594203,0.6418439716312057,0.44362745098039214,0.8545969615167305,0.48776364025712493,5.180152177810669,181,8332,101,227
engineered_weight,graphsage,0.5019815059445178,0.5444126074498568,0.46568627450980393,0.8135993517530338,0.4454181504008838,4.925374269485474,190,8274,159,218
engineered_noweight,gcn,0.47093889716840537,0.6007604562737643,0.3872549019607843,0.8404098743730861,0.4689103527958465,5.123030424118042,158,8328,105,250
baseline_weight,gcn,0.43765903307888043,0.455026455026455,0.4215686274509804,0.8259783576658459,0.4309380173203137,3.4385483264923096,172,8227,206,236
engineered_weight,gcn,0.4103671706263499,0.3667953667953668,0.46568627450980393,0.8522138459320643,0.44997471439031334,3.3434433937072754,190,8105,328,218
baseline_weight,gat,0.3546511627906977,0.2932692307692308,0.4485294117647059,0.8554883592236847,0.3648952827786654,11.80872368812561,183,7992,441,225
baseline_noweight,gat,0.35054347826086957,0.3932926829268293,0.3161764705882353,0.8027683028624707,0.26706478732759426,8.690992832183838,129,8234,199,279
baseline_noweight,gcn,0.3423076923076923,0.7946428571428571,0.2181372549019608,0.8239540391040798,0.40757910222347404,4.27945351600647,89,8410,23,319
engineered_noweight,gat,0.33651551312649164,0.32790697674418606,0.34558823529411764,0.8004925793393367,0.2611833018465165,5.649523496627808,141,8144,289,267
engineered_weight,gat,0.3124042879019908,0.22717149220489977,0.5,0.8137839091524194,0.447952134646573,11.854056119918823,204,7739,694,204
